geographic_area,population_census_2020
"New York-Newark-Jersey City, NY-NJ-PA",20140470.0
"Los Angeles-Long Beach-Anaheim, CA",13200998.0
"Chicago-Naperville-Elgin, IL-IN-WI",9618502.0
"Dallas-Fort Worth-Arlington, TX",7637387.0
"Houston-The Woodlands-Sugar Land, TX",7122240.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV",6385162.0
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",6245051.0
"Miami-Fort Lauderdale-Pompano Beach, FL",6138333.0
"Atlanta-Sandy Springs-Alpharetta, GA",6089815.0
"Boston-Cambridge-Newton, MA-NH",4941632.0
"Phoenix-Mesa-Chandler, AZ",4845832.0
"San Francisco-Oakland-Berkeley, CA",4749008.0
"Riverside-San Bernardino-Ontario, CA",4599839.0
"Detroit-Warren-Dearborn, MI",4392041.0
"Seattle-Tacoma-Bellevue, WA",4018762.0
"Minneapolis-St. Paul-Bloomington, MN-WI",3690261.0
"San Diego-Chula Vista-Carlsbad, CA",3298634.0
"Tampa-St. Petersburg-Clearwater, FL",3175275.0
"Denver-Aurora-Lakewood, CO",2963821.0
"Baltimore-Columbia-Towson, MD",2844510.0
"St. Louis, MO-IL",2820253.0
"Orlando-Kissimmee-Sanford, FL",2673376.0
"Charlotte-Concord-Gastonia, NC-SC",2660329.0
"San Antonio-New Braunfels, TX",2558143.0
"Portland-Vancouver-Hillsboro, OR-WA",2512859.0
"Sacramento-Roseville-Folsom, CA",2397382.0
"Pittsburgh, PA",2370930.0
"Austin-Round Rock-Georgetown, TX",2283371.0
"Las Vegas-Henderson-Paradise, NV",2265461.0
"Cincinnati, OH-KY-IN",2256884.0
"Kansas City, MO-KS",2192035.0
"Columbus, OH",2138926.0
"Indianapolis-Carmel-Anderson, IN",2111040.0
"Cleveland-Elyria, OH",2088251.0
"San Jose-Sunnyvale-Santa Clara, CA",2000468.0
"Nashville-Davidson--Murfreesboro--Franklin, TN",1989519.0
"Virginia Beach-Norfolk-Newport News, VA-NC",1799674.0
"Providence-Warwick, RI-MA",1676579.0
"Jacksonville, FL",1605848.0
"Milwaukee-Waukesha, WI",1574731.0
"Oklahoma City, OK",1425695.0
"Raleigh-Cary, NC",1413982.0
"Memphis, TN-MS-AR",1337779.0
"Richmond, VA",1314434.0
"Louisville/Jefferson County, KY-IN",1285439.0
"New Orleans-Metairie, LA",1271845.0
"Salt Lake City, UT",1257936.0
"Hartford-East Hartford-Middletown, CT",1213531.0
"Buffalo-Cheektowaga, NY",1166902.0
"Birmingham-Hoover, AL",1115289.0
"Rochester, NY",1090135.0
"Grand Rapids-Kentwood, MI",1087592.0
"Tucson, AZ",1043433.0
"Tulsa, OK",1015331.0
"Fresno, CA",1008654.0
"Worcester, MA-CT",978529.0
"Omaha-Council Bluffs, NE-IA",967604.0
"Bridgeport-Stamford-Norwalk, CT",957419.0
"Greenville-Anderson, SC",928195.0
"Albuquerque, NM",916528.0
"Bakersfield, CA",909235.0
"Albany-Schenectady-Troy, NY",899262.0
"Knoxville, TN",879773.0
"McAllen-Edinburg-Mission, TX",870781.0
"Baton Rouge, LA",870569.0
"El Paso, TX",868859.0
"New Haven-Milford, CT",864835.0
"Allentown-Bethlehem-Easton, PA-NJ",861889.0
"Oxnard-Thousand Oaks-Ventura, CA",843843.0
"North Port-Sarasota-Bradenton, FL",833716.0
"Columbia, SC",829470.0
"Dayton-Kettering, OH",814049.0
"Charleston-North Charleston, SC",799636.0
"Stockton, CA",779233.0
"Greensboro-High Point, NC",776566.0
"Boise City, ID",764718.0
"Cape Coral-Fort Myers, FL",760822.0
"Colorado Springs, CO",755105.0
"Little Rock-North Little Rock-Conway, AR",748031.0
"Lakeland-Winter Haven, FL",725046.0
"Des Moines-West Des Moines, IA",709466.0
"Akron, OH",702219.0
"Springfield, MA",699162.0
"Poughkeepsie-Newburgh-Middletown, NY",697221.0
"Ogden-Clearfield, UT",694863.0
"Madison, WI",680796.0
"Winston-Salem, NC",675966.0
"Provo-Orem, UT",671185.0
"Deltona-Daytona Beach-Ormond Beach, FL",668921.0
"Syracuse, NY",662057.0
"Durham-Chapel Hill, NC",649903.0
"Wichita, KS",647610.0
"Toledo, OH",646604.0
"Augusta-Richmond County, GA-SC",611000.0
"Palm Bay-Melbourne-Titusville, FL",606612.0
"Jackson, MS",591978.0
"Harrisburg-Carlisle, PA",591712.0
"Spokane-Spokane Valley, WA",585784.0
"Scranton--Wilkes-Barre, PA",567559.0
"Chattanooga, TN-GA",562647.0
